name,symbol,rank,market_cap,current_price,syllable_count,character_length,phonetic_score,vowel_ratio,memorability_score,pronounceability_score,uniqueness_score,name_type,has_numbers,has_special_chars,name_type_percentile,price_30d_change,price_90d_change,price_1yr_change,price_ath_change,linguistic_composite,is_mission_positive,is_high_performer,is_breakout,rank_tier,in_linguistic_sweet_spot,mission_resonance_score
Circle USYC,USYC,123,813230097.0,1.1,2,11,50.0,0.3,55.0,5.0,100.0,invented,0,0,,0.3825345867092728,1.004926952269185,0.0,-0.0003011057115205652,52.5,False,False,False,established,False,51.58
Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,126,793798440.0,10.88,14,64,45.47,0.37735849056603776,28.64,0.0,100.0,animal,0,1,,0.2977916676665629,0.9897506409044031,0.0,0.0,43.527499999999996,False,False,False,established,False,42.75
Optimism,OP,128,787124717.0,0.415141,3,8,65.0,0.375,79.5,30.0,100.0,invented,0,0,,-32.431191603219986,-41.79211707235185,-72.21058623773754,-83.86887573259737,68.625,False,False,False,established,True,50.41
cgETH Hashkey Cloud,CGETH.HASHKEY,133,759262016.0,3797.66,4,19,28.82,0.29411764705882354,23.65,0.0,100.0,tech,0,0,,-1.5785509989015605,-6.9670200559716875,0.0,-20.361727258859357,38.1175,False,False,False,established,False,38.85
Curve DAO,CRV,137,682180357.0,0.480608,1,9,80.0,0.5,79.0,41.67,100.0,invented,0,0,,-17.334385902013693,-48.562823741707746,123.93755223570044,-58.094675659220066,75.1675,True,False,False,established,False,81.75
Aerodrome Finance,AERO,116,916425138.0,1.014,4,17,70.0,0.5,36.0,19.35,100.0,financial,0,0,,-18.510172533161636,-10.935858015560065,-22.98980796704683,-63.788729242196105,56.3375,False,False,False,established,False,46.39
FLOKI,FLOKI,139,681253859.0,7.056e-05,2,5,100.0,0.4,100.0,41.67,100.0,animal,0,0,,-8.57227465384726,-43.89680754011207,-44.14673405257032,-72.91124223739986,85.4175,False,False,False,established,True,69.86
Ondo US Dollar Yield,USDY,135,690047139.0,1.11,4,20,52.35,0.4117647058823529,30.7,0.0,100.0,financial,0,0,,2.004047036939386,1.5430741025357857,3.9244111029936244,-1.6929411100758038,45.762499999999996,True,False,False,established,False,52.27
Stables Labs USDX,USDX,136,683992541.0,0.998538,4,17,23.33,0.26666666666666666,22.0,0.0,100.0,invented,0,0,,0.03542810312066242,-0.08731604236341321,-0.1713558489103516,-0.8786083867990193,36.332499999999996,False,False,False,established,False,31.56
Ether.Fi Liquid ETH,LIQUIDETH,138,680309865.0,4126.23,4,19,67.5,0.4375,35.25,4.0,100.0,invented,0,1,,,,0.0,0.0,51.6875,False,False,False,established,False,50.84
L2 Standard Bridged WETH (Base),WETH,134,689988336.0,3879.19,5,31,28.33,0.2916666666666667,8.5,0.0,100.0,numeric,1,1,,0.4974871555425148,0.4745220322795708,60.475119786988074,-19.518562431560014,34.207499999999996,True,False,False,established,False,48.13
The Graph,GRT,140,676935616.0,0.064089,2,9,30.0,0.25,64.0,1.0,100.0,invented,0,0,,-19.98966820824584,-41.949364392994106,-57.82123930807024,-81.16653101349426,48.75,False,False,False,established,True,36.14
